"customer_id","contact_name","city","country","total_revenue"
"QUICK","Horst Kloss","Cunewalde","Germany",110277
"ERNSH","Roland Mendel","Graz","Austria",104875
"SAVEA","Jose Pavarotti","Boise","USA",104362
"RATTC","Paula Wilson","Albuquerque","USA",51098
"HUNGO","Patricia McKenna","Cork","Ireland",49980
"HANAR","Mario Pontes","Rio de Janeiro","Brazil",32841
"KOENE","Philip Cramer","Brandenburg","Germany",30908
"FOLKO","Maria Larsson","Bräcke","Sweden",29568
"MEREP","Jean Fresnière","Montréal","Canada",28872
"WHITC","Karl Jablonski","Seattle","USA",27364
