"customer_id","contact_name","city","country","total_revenue","spending_tier"
"QUICK","Horst Kloss","Cunewalde","Germany",110277,"high"
"ERNSH","Roland Mendel","Graz","Austria",104875,"high"
"SAVEA","Jose Pavarotti","Boise","USA",104362,"high"
"RATTC","Paula Wilson","Albuquerque","USA",51098,"high"
"HUNGO","Patricia McKenna","Cork","Ireland",49980,"high"
"HANAR","Mario Pontes","Rio de Janeiro","Brazil",32841,"high"
"KOENE","Philip Cramer","Brandenburg","Germany",30908,"high"
"FOLKO","Maria Larsson","Bräcke","Sweden",29568,"high"
"MEREP","Jean Fresnière","Montréal","Canada",28872,"high"
"WHITC","Karl Jablonski","Seattle","USA",27364,"high"
"FRANK","Peter Franken","München","Germany",26657,"high"
"QUEEN","Lúcia Carvalho","Sao Paulo","Brazil",25717,"high"
"BERGS","Christina Berglund","Luleå","Sweden",24928,"high"
"SUPRD","Pascale Cartrain","Charleroi","Belgium",24089,"high"
"PICCO","Georg Pipps","Salzburg","Austria",23129,"high"
"HILAA","Carlos Hernández","San Cristóbal","Venezuela",22769,"high"
"BONAP","Laurence Lebihan","Marseille","France",21963,"high"
"BOTTM","Elizabeth Lincoln","Tsawassen","Canada",20802,"high"
"RICSU","Michael Holz","Genève","Switzerland",19344,"high"
"LEHMS","Renate Messner","Frankfurt a.M.","Germany",19261,"high"
"BLONP","Frédérique Citeaux","Strasbourg","France",18534,"high"
"GREAL","Howard Snyder","Eugene","USA",18507,"high"
"SIMOB","Jytte Petersen","Kobenhavn","Denmark",16817,"high"
"LINOD","Felipe Izquierdo","I. de Margarita","Venezuela",16477,"medium"
"SEVES","Hari Kumar","London","UK",16215,"medium"
"LILAS","Carlos González","Barquisimeto","Venezuela",16077,"medium"
"VAFFE","Palle Ibsen","Århus","Denmark",15844,"medium"
"WARTH","Pirkko Koskitalo","Oulu","Finland",15649,"medium"
"OLDWO","Rene Phillips","Anchorage","USA",15177,"medium"
"EASTC","Ann Devon","London","UK",14761,"medium"
"AROUT","Thomas Hardy","London","UK",13391,"medium"
"OTTIK","Henriette Pfalzheim","Köln","Germany",12496,"medium"
"RICAR","Janete Limeira","Rio de Janeiro","Brazil",12451,"medium"
"CHOPS","Yang Wang","Bern","Switzerland",12349,"medium"
"FOLIG","Martine Rancé","Lille","France",11667,"medium"
"GODOS","José Pedro Freyre","Sevilla","Spain",11446,"medium"
"SPLIR","Art Braunschweiger","Lander","USA",11442,"medium"
"TORTU","Miguel Angel Paolino","México D.F.","Mexico",10812,"medium"
"MAISD","Catherine Dewey","Bruxelles","Belgium",9736,"medium"
"WANDK","Rita Müller","Stuttgart","Germany",9588,"medium"
"LAMAI","Annette Roulet","Toulouse","France",9328,"medium"
"VICTE","Mary Saveley","Lyon","France",9182,"medium"
"GOURL","André Fonseca","Campinas","Brazil",8414,"medium"
"MAGAA","Giovanni Rovelli","Bergamo","Italy",7176,"medium"
"REGGC","Maurizio Moroni","Reggio Emilia","Italy",7048,"medium"
"ANTON","Antonio Moreno","México D.F.","Mexico",7024,"low"
"TRADH","Anabela Domingues","Sao Paulo","Brazil",6851,"low"
"QUEDE","Bernardo Batista","Rio de Janeiro","Brazil",6665,"low"
"FURIB","Lino Rodriguez","Lisboa","Portugal",6427,"low"
"ISLAT","Helen Bennett","Cowes","UK",6146,"low"
"BSBEV","Victoria Ashworth","London","UK",6090,"low"
"WELLI","Paula Parente","Resende","Brazil",6068,"low"
"SANTG","Jonas Bergulfsen","Stavern","Norway",5735,"low"
"PRINI","Isabel de Castro","Lisboa","Portugal",5045,"low"
"MORGK","Alexander Feuer","Leipzig","Germany",5042,"low"
"TOMSP","Karin Josephs","Münster","Germany",4778,"low"
