"customer_id","contact_name","total_revenue","average_revenue","performance"
"QUICK","Horst Kloss",110277,1282.294244539463,"above_average"
"ERNSH","Roland Mendel",104875,1028.186060232132,"above_average"
"SAVEA","Jose Pavarotti",104362,899.6719787964996,"above_average"
"RATTC","Paula Wilson",51098,719.6873356094115,"above_average"
"HUNGO","Patricia McKenna",49980,908.7255469362816,"above_average"
"HANAR","Mario Pontes",32841,1026.292810889296,"above_average"
"KOENE","Philip Cramer",30908,792.522663398421,"above_average"
"FOLKO","Maria Larsson",29568,657.0569442228145,"above_average"
"MEREP","Jean Fresnière",28872,902.2559423787006,"above_average"
"WHITC","Karl Jablonski",27364,684.09012250527,"above_average"
"FRANK","Peter Franken",26657,555.3449875831253,"above_average"
"QUEEN","Lúcia Carvalho",25717,642.9374401243394,"above_average"
"BERGS","Christina Berglund",24928,479.37648905703793,"above_average"
"SUPRD","Pascale Cartrain",24089,617.6610328543187,"above_average"
"PICCO","Georg Pipps",23129,1005.6026093466838,"above_average"
"HILAA","Carlos Hernández",22769,505.97253168274426,"above_average"
"BONAP","Laurence Lebihan",21963,499.1648286746485,"above_average"
"BOTTM","Elizabeth Lincoln",20802,594.3314272083129,"above_average"
"RICSU","Michael Holz",19344,644.7926306773618,"above_average"
"LEHMS","Renate Messner",19261,493.8823065351753,"above_average"
"BLONP","Frédérique Citeaux",18534,712.8492338209655,"above_average"
"GREAL","Howard Snyder",18507,841.2477259512077,"above_average"
"SIMOB","Jytte Petersen",16817,1121.1398408136617,"above_average"
"LINOD","Felipe Izquierdo",16477,470.75899758055374,"above_average"
"SEVES","Hari Kumar",16215,623.6663478510168,"above_average"
"LILAS","Carlos González",16077,472.8411741456039,"above_average"
"VAFFE","Palle Ibsen",15844,511.09435148410984,"above_average"
"WARTH","Pirkko Koskitalo",15649,422.937907717675,"above_average"
"OLDWO","Rene Phillips",15177,632.3942709732801,"above_average"
"EASTC","Ann Devon",14761,702.9064252490089,"above_average"
"AROUT","Thomas Hardy",13391,446.3549991309394,"above_average"
"OTTIK","Henriette Pfalzheim",12496,430.9034470076448,"above_average"
"RICAR","Janete Limeira",12451,461.14074122629785,"above_average"
"CHOPS","Yang Wang",12349,561.3127297003025,"above_average"
"FOLIG","Martine Rancé",11667,729.1812555789948,"above_average"
"GODOS","José Pedro Freyre",11446,440.2446136452601,"above_average"
"SPLIR","Art Braunschweiger",11442,572.0815036135391,"above_average"
"TORTU","Miguel Angel Paolino",10812,372.8327597914071,"above_average"
"MAISD","Catherine Dewey",9736,572.7102945244663,"above_average"
"WANDK","Rita Müller",9588,368.7855754988841,"above_average"
"LAMAI","Annette Roulet",9328,300.9096779002297,"above_average"
"VICTE","Mary Saveley",9182,367.2971951058984,"above_average"
"GOURL","André Fonseca",8414,442.84920950312363,"above_average"
"MAGAA","Giovanni Rovelli",7176,341.72452147664416,"above_average"
