"customer_id","contact_name","total_revenue","percentile","tier_segment"
"QUICK","Horst Kloss",110277,1,"tier 1"
"ERNSH","Roland Mendel",104875,1,"tier 1"
"SAVEA","Jose Pavarotti",104362,1,"tier 1"
"RATTC","Paula Wilson",51098,1,"tier 1"
"HUNGO","Patricia McKenna",49980,1,"tier 1"
"HANAR","Mario Pontes",32841,1,"tier 1"
"KOENE","Philip Cramer",30908,1,"tier 1"
"FOLKO","Maria Larsson",29568,1,"tier 1"
"MEREP","Jean Fresnière",28872,1,"tier 1"
"WHITC","Karl Jablonski",27364,1,"tier 1"
"FRANK","Peter Franken",26657,1,"tier 1"
"QUEEN","Lúcia Carvalho",25717,1,"tier 1"
"BERGS","Christina Berglund",24928,1,"tier 1"
"SUPRD","Pascale Cartrain",24089,1,"tier 1"
"PICCO","Georg Pipps",23129,1,"tier 1"
"HILAA","Carlos Hernández",22769,1,"tier 1"
"BONAP","Laurence Lebihan",21963,1,"tier 1"
"BOTTM","Elizabeth Lincoln",20802,1,"tier 1"
"RICSU","Michael Holz",19344,1,"tier 1"
"LEHMS","Renate Messner",19261,1,"tier 1"
"BLONP","Frédérique Citeaux",18534,1,"tier 1"
"GREAL","Howard Snyder",18507,1,"tier 1"
"SIMOB","Jytte Petersen",16817,1,"tier 1"
"LINOD","Felipe Izquierdo",16477,2,"tier 2"
"SEVES","Hari Kumar",16215,2,"tier 2"
"LILAS","Carlos González",16077,2,"tier 2"
"VAFFE","Palle Ibsen",15844,2,"tier 2"
"WARTH","Pirkko Koskitalo",15649,2,"tier 2"
"OLDWO","Rene Phillips",15177,2,"tier 2"
"EASTC","Ann Devon",14761,2,"tier 2"
"AROUT","Thomas Hardy",13391,2,"tier 2"
"OTTIK","Henriette Pfalzheim",12496,2,"tier 2"
"RICAR","Janete Limeira",12451,2,"tier 2"
"CHOPS","Yang Wang",12349,2,"tier 2"
"FOLIG","Martine Rancé",11667,2,"tier 2"
"GODOS","José Pedro Freyre",11446,2,"tier 2"
"SPLIR","Art Braunschweiger",11442,2,"tier 2"
"TORTU","Miguel Angel Paolino",10812,2,"tier 2"
"MAISD","Catherine Dewey",9736,2,"tier 2"
"WANDK","Rita Müller",9588,2,"tier 2"
"LAMAI","Annette Roulet",9328,2,"tier 2"
"VICTE","Mary Saveley",9182,2,"tier 2"
"GOURL","André Fonseca",8414,2,"tier 2"
"MAGAA","Giovanni Rovelli",7176,2,"tier 2"
"REGGC","Maurizio Moroni",7048,2,"tier 2"
"ANTON","Antonio Moreno",7024,3,"tier 3"
"TRADH","Anabela Domingues",6851,3,"tier 3"
"QUEDE","Bernardo Batista",6665,3,"tier 3"
"FURIB","Lino Rodriguez",6427,3,"tier 3"
"ISLAT","Helen Bennett",6146,3,"tier 3"
"BSBEV","Victoria Ashworth",6090,3,"tier 3"
"WELLI","Paula Parente",6068,3,"tier 3"
"SANTG","Jonas Bergulfsen",5735,3,"tier 3"
"PRINI","Isabel de Castro",5045,3,"tier 3"
"MORGK","Alexander Feuer",5042,3,"tier 3"
"TOMSP","Karin Josephs",4778,3,"tier 3"
"ALFKI","Maria Anders",4273,3,"tier 3"
"LONEP","Fran Wilson",4259,3,"tier 3"
"PERIC","Guillermo Fernández",4242,3,"tier 3"
"BOLID","Martín Sommer",4233,3,"tier 3"
"FAMIA","Aria Cruz",4108,3,"tier 3"
"COMMI","Pedro Afonso",3811,3,"tier 3"
"DRACD","Sven Ottlieb",3763,3,"tier 3"
"WOLZA","Zbyszek Piestrzeniewicz",3532,3,"tier 3"
"OCEAN","Yvonne Moncada",3460,3,"tier 3"
"THEBI","Liz Nixon",3361,3,"tier 3"
"BLAUS","Hanna Moos",3240,3,"tier 3"
"FRANR","Carine Schmitt",3172,4,"tier 4"
"WILMK","Matti Karttunen",3161,4,"tier 4"
"LETSS","Jaime Yorres",3076,4,"tier 4"
"HUNGC","Yoshi Latimer",3063,4,"tier 4"
"RANCH","Sergio Gutiérrez",2844,4,"tier 4"
"SPECD","Dominique Perrier",2423,4,"tier 4"
"LACOR","Daniel Tonini",1992,4,"tier 4"
"THECR","Liu Wong",1947,4,"tier 4"
"CACTU","Patricio Simpson",1815,4,"tier 4"
"CONSH","Elizabeth Brown",1719,4,"tier 4"
"DUMON","Janine Labrune",1616,4,"tier 4"
"TRAIH","Helvetius Nagy",1571,4,"tier 4"
"FRANS","Paolo Accorti",1546,4,"tier 4"
"GROSR","Manuel Pereira",1489,4,"tier 4"
"VINET","Paul Henriot",1480,4,"tier 4"
"ROMEY","Alejandra Camino",1467,4,"tier 4"
"ANATR","Ana Trujillo",1403,4,"tier 4"
"GALED","Eduardo Saavedra",837,4,"tier 4"
"NORTS","Simon Crowther",649,4,"tier 4"
"LAUGB","Yoshi Tannamuri",522,4,"tier 4"
"LAZYK","John Steel",357,4,"tier 4"
"CENTC","Francisco Chang",101,4,"tier 4"
